ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12
1,R02,ABIDJAN 2,N/A,REGION,54,54,0,1,1,0,0,0,0,1,1,0
2,D76,ABOBO EST,YES,DISTRICT,7,7,0,10,10,0,13,13,0,26,25,1
3,D77,ABOBO OUEST,YES,DISTRICT,8,8,0,5,5,0,5,5,0,4,4,0
4,D78,ANYAMA,YES,DISTRICT,2,2,0,1,1,0,1,1,0,4,3,1
5,D79,COCODY BINGERVILLE,YES,DISTRICT,4,4,0,2,2,0,2,2,0,2,2,0
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,17,17,0,1,1,0,2,2,0,4,4,0
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,16,16,0,1,1,0,1,1,0,10,10,0
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,36,34,2,5,4,1,5,4,0,4,3,1
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,11,11,0,0,0,0,2,2,0,2,2,0
10,D26,DABOU,YES,DISTRICT,3,3,0,6,3,3,3,3,0,23,21,2
11,D38,GRAND-LAHOU,YES,DISTRICT,1,1,0,1,1,0,1,1,0,10,8,2
12,D43,JACQUEVILLE,YES,DISTRICT,1,1,0,2,1,1,1,1,0,3,3,0
13,D83,YOPOUGON-EST,YES,DISTRICT,7,7,0,1,0,1,0,0,0,1,1,0
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,13,11,2,1,0,1,0,0,0,1,1,0
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,9,9,0,1,1,0,1,1,0,1,1,0
16,D05,ADZOPE,YES,DISTRICT,1,1,0,0,0,0,0,0,0,4,4,0
17,D06,AGBOVILLE,YES,DISTRICT,1,1,0,1,1,0,1,1,0,4,4,0
18,D08,AKOUPE,YES,DISTRICT,2,2,0,6,5,1,5,3,2,7,6,1
19,D09,ALEPE,YES,DISTRICT,1,1,0,1,1,0,1,1,0,1,1,0
